PassengerId,Survived,Pclass,Sex,Fare,Embarked,Agecut,Title,Familysize
1,0,3,male,7.25,S,adult,Mr,midfamily
2,1,1,female,71.2833,C,adult,Mrs,midfamily
3,1,3,female,7.925,S,adult,Miss,alone
4,1,1,female,53.1,S,adult,Mrs,midfamily
5,0,3,male,8.05,S,adult,Mr,alone
6,0,3,male,8.4583,Q,adult,Mr,alone
7,0,1,male,51.8625,S,adult,Mr,alone
8,0,3,male,21.075,S,child,Master,largefamily
9,1,3,female,11.1333,S,adult,Mrs,midfamily
10,1,2,female,30.0708,C,child,Mrs,midfamily
11,1,3,female,16.7,S,child,Miss,midfamily
12,1,1,female,26.55,S,adult,Miss,alone
13,0,3,male,8.05,S,adult,Mr,alone
14,0,3,male,31.275,S,adult,Mr,largefamily
15,0,3,female,7.8542,S,child,Miss,alone
16,1,2,female,16.0,S,adult,Mrs,alone
17,0,3,male,29.125,Q,child,Master,largefamily
18,1,2,male,13.0,S,adult,Mr,alone
19,0,3,female,18.0,S,adult,Mrs,midfamily
20,1,3,female,7.225,C,adult,Mrs,alone
21,0,2,male,26.0,S,adult,Mr,alone
22,1,2,male,13.0,S,adult,Mr,alone
23,1,3,female,8.0292,Q,child,Miss,alone
24,1,1,male,35.5,S,adult,Mr,alone
25,0,3,female,21.075,S,child,Miss,largefamily
26,1,3,female,31.3875,S,adult,Mrs,largefamily
27,0,3,male,7.225,C,adult,Mr,alone
28,0,1,male,263.0,S,adult,Mr,largefamily
29,1,3,female,7.8792,Q,adult,Miss,alone
30,0,3,male,7.8958,S,adult,Mr,alone
31,0,1,male,27.7208,C,adult,rare,alone
32,1,1,female,146.5208,C,adult,Mrs,midfamily
33,1,3,female,7.75,Q,adult,Miss,alone
34,0,2,male,10.5,S,old,Mr,alone
35,0,1,male,82.1708,C,adult,Mr,midfamily
36,0,1,male,52.0,S,adult,Mr,midfamily
37,1,3,male,7.2292,C,adult,Mr,alone
38,0,3,male,8.05,S,adult,Mr,alone
39,0,3,female,18.0,S,adult,Miss,midfamily
40,1,3,female,11.2417,C,child,Miss,midfamily
41,0,3,female,9.475,S,adult,Mrs,midfamily
42,0,2,female,21.0,S,adult,Mrs,midfamily
43,0,3,male,7.8958,C,adult,Mr,alone
44,1,2,female,41.5792,C,child,Miss,largefamily
45,1,3,female,7.8792,Q,adult,Miss,alone
46,0,3,male,8.05,S,adult,Mr,alone
47,0,3,male,15.5,Q,adult,Mr,midfamily
48,1,3,female,7.75,Q,adult,Miss,alone
49,0,3,male,21.6792,C,adult,Mr,midfamily
50,0,3,female,17.8,S,adult,Mrs,midfamily
51,0,3,male,39.6875,S,child,Master,largefamily
52,0,3,male,7.8,S,adult,Mr,alone
53,1,1,female,76.7292,C,adult,Mrs,midfamily
54,1,2,female,26.0,S,adult,Mrs,midfamily
55,0,1,male,61.9792,C,old,Mr,midfamily
56,1,1,male,35.5,S,adult,Mr,alone
57,1,2,female,10.5,S,adult,Miss,alone
58,0,3,male,7.2292,C,adult,Mr,alone
59,1,2,female,27.75,S,child,Miss,largefamily
60,0,3,male,46.9,S,child,Master,largefamily
61,0,3,male,7.2292,C,adult,Mr,alone
63,0,1,male,83.475,S,adult,Mr,midfamily
64,0,3,male,27.9,S,child,Master,largefamily
65,0,1,male,27.7208,C,adult,Mr,alone
66,1,3,male,15.2458,C,adult,Master,midfamily
67,1,2,female,10.5,S,adult,Mrs,alone
68,0,3,male,8.1583,S,adult,Mr,alone
69,1,3,female,7.925,S,adult,Miss,largefamily
70,0,3,male,8.6625,S,adult,Mr,midfamily
71,0,2,male,10.5,S,adult,Mr,alone
72,0,3,female,46.9,S,adult,Miss,largefamily
73,0,2,male,73.5,S,adult,Mr,alone
74,0,3,male,14.4542,C,adult,Mr,midfamily
75,1,3,male,56.4958,S,adult,Mr,alone
76,0,3,male,7.65,S,adult,Mr,alone
77,0,3,male,7.8958,S,adult,Mr,alone
78,0,3,male,8.05,S,adult,Mr,alone
79,1,2,male,29.0,S,child,Master,midfamily
80,1,3,female,12.475,S,adult,Miss,alone
81,0,3,male,9.0,S,adult,Mr,alone
82,1,3,male,9.5,S,adult,Mr,alone
83,1,3,female,7.7875,Q,adult,Miss,alone
84,0,1,male,47.1,S,adult,Mr,alone
85,1,2,female,10.5,S,adult,Miss,alone
86,1,3,female,15.85,S,adult,Mrs,largefamily
87,0,3,male,34.375,S,adult,Mr,largefamily
88,0,3,male,8.05,S,adult,Mr,alone
89,1,1,female,263.0,S,adult,Miss,largefamily
90,0,3,male,8.05,S,adult,Mr,alone
91,0,3,male,8.05,S,adult,Mr,alone
92,0,3,male,7.8542,S,adult,Mr,alone
93,0,1,male,61.175,S,adult,Mr,midfamily
94,0,3,male,20.575,S,adult,Mr,largefamily
95,0,3,male,7.25,S,adult,Mr,alone
96,0,3,male,8.05,S,adult,Mr,alone
97,0,1,male,34.6542,C,old,Mr,alone
98,1,1,male,63.3583,C,adult,Mr,midfamily
99,1,2,female,23.0,S,adult,Mrs,midfamily
100,0,2,male,26.0,S,adult,Mr,midfamily
101,0,3,female,7.8958,S,adult,Miss,alone
102,0,3,male,7.8958,S,adult,Mr,alone
103,0,1,male,77.2875,S,adult,Mr,midfamily
104,0,3,male,8.6542,S,adult,Mr,alone
105,0,3,male,7.925,S,adult,Mr,midfamily
106,0,3,male,7.8958,S,adult,Mr,alone
107,1,3,female,7.65,S,adult,Miss,alone
108,1,3,male,7.775,S,adult,Mr,alone
109,0,3,male,7.8958,S,adult,Mr,alone
110,1,3,female,24.15,Q,adult,Miss,midfamily
111,0,1,male,52.0,S,adult,Mr,alone
112,0,3,female,14.4542,C,child,Miss,midfamily
113,0,3,male,8.05,S,adult,Mr,alone
114,0,3,female,9.825,S,adult,Miss,midfamily
115,0,3,female,14.4583,C,adult,Miss,alone
116,0,3,male,7.925,S,adult,Mr,alone
117,0,3,male,7.75,Q,old,Mr,alone
118,0,2,male,21.0,S,adult,Mr,midfamily
119,0,1,male,247.5208,C,adult,Mr,midfamily
120,0,3,female,31.275,S,child,Miss,largefamily
121,0,2,male,73.5,S,adult,Mr,midfamily
122,0,3,male,8.05,S,adult,Mr,alone
123,0,2,male,30.0708,C,adult,Mr,midfamily
124,1,2,female,13.0,S,adult,Miss,alone
125,0,1,male,77.2875,S,adult,Mr,midfamily
126,1,3,male,11.2417,C,child,Master,midfamily
127,0,3,male,7.75,Q,adult,Mr,alone
128,1,3,male,7.1417,S,adult,Mr,alone
129,1,3,female,22.3583,C,adult,Miss,midfamily
130,0,3,male,6.975,S,adult,Mr,alone
131,0,3,male,7.8958,C,adult,Mr,alone
132,0,3,male,7.05,S,adult,Mr,alone
133,0,3,female,14.5,S,adult,Mrs,midfamily
134,1,2,female,26.0,S,adult,Mrs,midfamily
135,0,2,male,13.0,S,adult,Mr,alone
136,0,2,male,15.0458,C,adult,Mr,alone
137,1,1,female,26.2833,S,adult,Miss,midfamily
138,0,1,male,53.1,S,adult,Mr,midfamily
139,0,3,male,9.2167,S,adult,Mr,alone
140,0,1,male,79.2,C,adult,Mr,alone
141,0,3,female,15.2458,C,adult,Mrs,midfamily
142,1,3,female,7.75,S,adult,Miss,alone
143,1,3,female,15.85,S,adult,Mrs,midfamily
144,0,3,male,6.75,Q,adult,Mr,alone
145,0,2,male,11.5,S,adult,Mr,alone
146,0,2,male,36.75,S,adult,Mr,midfamily
147,1,3,male,7.7958,S,adult,Mr,alone
148,0,3,female,34.375,S,child,Miss,largefamily
149,0,2,male,26.0,S,adult,Mr,midfamily
150,0,2,male,13.0,S,adult,rare,alone
151,0,2,male,12.525,S,adult,rare,alone
152,1,1,female,66.6,S,adult,Mrs,midfamily
153,0,3,male,8.05,S,adult,Mr,alone
154,0,3,male,14.5,S,adult,Mr,midfamily
155,0,3,male,7.3125,S,adult,Mr,alone
156,0,1,male,61.3792,C,adult,Mr,midfamily
157,1,3,female,7.7333,Q,adult,Miss,alone
158,0,3,male,8.05,S,adult,Mr,alone
